documentId,name,photo,bio,designation,organization
mr-manohar-bhattarai,Mr. Manohar Bhattarai,/images/speakers/Manohar K Bhattarai.jpg,"Mr. Manohar Kumar Bhattarai is a senior ICT strategist and former Vice-Chairperson of the High-Level Commission for Information Technology (HLCIT). A pioneer in Nepal's digital ecosystem, he led the formulation of the country's foundational IT policies and national e-Government Master Plan. With an engineering background in systems architecture, he consults on digital governance, ICT policy, and educational technology, while serving as Chairperson of Samriddhi College.","ICT Expert, Former Vice Chairperson",HLCIT
mr-hempal-shrestha,Mr. Hempal Shrestha,/images/speakers/Hempal Shrestha.jpg,"Mr. Hempal Shrestha is a technologist, technopreneur, social researcher, and LegalTech & Knowledge Management specialist. He is Co-Founder of Nepal Entrepreneurs' Hub and a founding community member of FOSS Nepal, with experience spanning LegalTech, knowledge management, digital transformation, open-source technology, and entrepreneurship ecosystem development. He has also contributed to public-sector transformation initiatives, including change management at the Department of Customs, Government of Nepal.",LegalTech & Knowledge Management Specialist,IFN
mr-basanta-raj-shrestha,Mr. Basanta Raj Shrestha,/images/speakers/Basanta-Raj-Shrestha.jpg,"Basanta Raj Shrestha is a pioneer in Geo-informatics and mountain development with over three decades of leadership at ICIMOD, where he served as Director of Strategic Cooperation and Head of MENRIS. A champion for integrating AI, satellite applications, and Earth observation into climate resilience, he spearheaded flagship regional initiatives like SERVIR-Himalaya with NASA and USAID. Holding an Honorary Professorship from Tibet University and recognized with the ESRI Presidential Award, he drives global partnerships leveraging cutting-edge technology for sustainable environmental solutions.","AI Enthusiast, Former Director of Strategic Cooperation",ICIMOD
mr-sunil-kc,Mr. Sunil KC,/images/speakers/Sunil KC.jpg,"Mr. Sunil KC is an entrepreneur and institution builder who founded the Asian Institute of Diplomacy and International Affairs (AIDIA) in 2014, now a leading foreign policy think tank collaborating with Kathmandu University. He serves as President of the Nepal-India Chamber of Commerce & Industry (NICCI), advises the University of Nepal's Board of Trustees, and holds roles at EDU Brussels and Singati Hydro Energy. His career began in journalism.",President,NICCI
embassy-saarc,Embassy  / SAARC,,,,
mr-anjan-shrestha,Mr. Anjan Shrestha,/images/speakers/Anjan Shrestha.jpeg,,President,FNCCI
mr-guru-prasad-poudel,Mr. Guru Prasad Poudel,/images/speakers/Guru-Prasad-Poudel.jpg,,Spokesperson,Nepal Rastra Bank (NRB)
mr-arjun-ghimire,Mr. Arjun Ghimire,/images/speakers/Arjun Ghimire.jpeg,,Chairman,Nepal Telecommunications Authority (NTA)
mr-sudeep-dhakal,Mr. Sudeep Dhakal,/images/speakers/Sudeep Dhakal.jpg,,"Advisor for Policy, Administration, and Good Governance",Rt. Hon. PM Balendra Shah
hon-dr-bikram-timalsina,Hon. Dr. Bikram Timalsina,/images/speakers/Bikram Timalsina.jpg,"Hon. Dr. Bikram Timilsina serves as the Minister of Communication and Information Technology and a Member of Parliament representing Nuwakot–1. Holding a PhD in Politics and International Relations from Griffith University alongside Master's degrees from the University of Queensland and Tribhuvan University, he brings nearly 15 years of academic research, media, and policy experience to government leadership. As the former Chair of the Asian Institute for Advanced Research (AIFAR), he bridges international development scholarship with public administration, driving national initiatives in digital transformation, telecommunications reform, media modernizations, and evidence-based, youth-centric governance.",Minister,Ministry of Information & Communication
mr-ganesh-shah,Mr. Ganesh Shah,/images/speakers/Ganesh Shah.jpg,"Ganesh Shah is a Standing Committee Member of Nepal Communist Party and Former Minister for Environment, Science and Technology. He is a mechanical engineer by profession and received his M-Tech (Technical Engineering) from Patrice Lumumba People's Friendship University in 1973. He is a strong advocate for climate change and water resource management, and takes an active interest in national and regional policy issues.",Former Minister & Patron,ICT Foundation Nepal
mr-saroj-bhattarai,Mr. Saroj Bhattarai,/images/speakers/Saroj Bhattarai.jpg,,Executive Director,CodeX
mr-sojan-prajapati,Mr. Sojan Prajapati,/images/speakers/Sojan-Prajapati.jpg,"Mr. Sojan Prajapati is an entrepreneur and engineer on a mission to rebrand Nepal through innovative and sustainable business solutions. He spearheaded a research team at ACEM that grew into one of the largest research centers among private engineering colleges, and co-founded Engineers Without Borders Nepal, reaching 800+ students across 7 schools. He also co-founded Speakupnepal, Nepal's first petition platform, with 30,000+ users.",CBO,Prixa
mr-chudamani-dhungana,Mr. Chudamani Dhungana,/images/speakers/Chudamani Dhungana.jpeg,,IT Director,ITDGO
mr-manoj-ghimire,Mr. Manoj Ghimire,/images/speakers/Manoj Ghimire.jpg,"Er. Manoj Ghimire is the Co-Founder and CEO of RARA Labs, Chairman at Biz Serve IT, and a Visiting Lecturer at IOE Pulchowk Campus. With over 15 years of experience across software architecture, cybersecurity, and product development, he has previously served as Chief Application Architect at LogPoint. Holding an M.Sc. in Information and Communication Engineering from Tribhuvan University, he actively leads digital transformation initiatives, cloud platform design, and technical team building across Nepal's tech ecosystem.",Founder,RARA Labs
hon-arvind-sah,Hon. Arvind Sah,/images/speakers/Arvind Sah.jpg,"Hon. Er. Arvind Sah is a Member of the House of Representatives of Nepal (representing Bara–3) and a prominent tech entrepreneur. A Computer Engineering graduate from Pulchowk Campus (IOE), Tribhuvan University, he co-founded Janaki Technology (Sparrow SMS) and the leading digital wallet Khalti. Combining technical innovation with public policy, he leads parliamentary initiatives focusing on digital transformation, ICT policy, good governance, and tech-driven economic development.",Member,House of Representatives
dr-archana-shrestha,Dr. Archana Shrestha,/images/speakers/Archana Shrestha.jpeg,"Dr. Archana Shrestha is the Director General of the Nepal Meteorological Department and Nepal's Permanent Representative to the WMO. Previously, she served as Director General at the Department of Hydrology and Meteorology. A Fulbright scholar holding a PhD in Atmospheric Science from the University of Wisconsin-Madison, she has extensive experience leading national climate initiatives, pioneering impact-based forecasting, and coordinating disaster risk reduction.",Director General,"Nepal Meteorological Department, GoN"
mr-ram-datta-bhatta,Mr. Ram Datta Bhatta,/images/speakers/Ram-Datta-Bhatta.jpg,"Mr. Ram Datta Bhatta is a Joint Secretary in the Government of Nepal with extensive leadership experience across central ministries, including the Ministry of Information and Communications and the Office of the Prime Minister and Council of Ministers (OPMCM). Combining an advanced background in IT and business administration with public sector management, he plays a key role in public policy implementation, administrative governance, and government technology initiatives across Nepal.",Joint Secretary,"Information Technology and Digital Governance Office, GoN (ITDGO)"
mr-santosh-sigdel,Mr. Santosh Sigdel,/images/speakers/Santosh Sigdel.jpg,"Santosh Sigdel is a human rights lawyer and the Executive Director of Digital Rights Nepal (DRN). With over 15 years of experience in rights advocacy, internet governance, and policy reform, he is a leading voice on online freedom of expression, data privacy, and digital governance in South Asia. A former President of Internet Society Nepal and General Secretary of AI Association Nepal, he holds master's degrees in law from Central European University and Tribhuvan University and actively shapes policies to build an inclusive, rights-respecting digital ecosystem.",Chairperson,Digital Rights Nepal
mr-bikash-nahata,Mr. Bikash Nahata,/images/speakers/Bikash-Nahata.jpeg,"Mr. Bikash Nahata is the Executive Director of OnePoint Financial Services, a technology partner powering Open Finance and banking modernization. With over 20 years of global fintech experience, he previously served as founding CEO of IME Pay, driving major advances in mobile payments and financial inclusion. An alumnus of Kathmandu University with executive training from Harvard Kennedy School and IIM Ahmedabad, he guides digital ecosystem scaling.",Executive Director,One Point Financial Services
mr-ananda-raj-khanal,Mr. Ananda Raj Khanal,/images/speakers/Ananda Raj Khanal.jpg,"Mr. Ananda Raj Khanal is a freelance consultant specializing in telecommunications and ICT policy, law, regulation, and business models, and serves as a Visiting Professor teaching telecommunications and broadband while supervising thesis research. Beyond technology, he is a lyricist, poet, and writer who produces audio and video works, and writes commentary on the Upanishads and Advaita Vedanta, alongside work as a motivator and counsellor.",Chairperson,Nepal Digital Leads
mr-ram-prasad-rimal,Mr. Ram Prasad Rimal,/images/speakers/Ram Prasad Rimal.jpeg,"Mr. Ram Prasad Rimal is Director at Addressgraph Nepal Pvt. Ltd. and an innovation leader with over 24 years of experience building localized digital systems. He received the WSA Global Award 2024, APICTA Award 2025, and ICT Award 2025 for Kataho, a digital addressing system now integrated into Nepal's postal ecosystem. He has led 50+ innovations protected by 6+ patents and 25+ copyrights, including electronic voting machines.",Chairman,Addressgraph Nepal Pvt. Ltd.
dr-bhoj-raj-ghimire,Dr. Bhoj Raj Ghimire,/images/speakers/Dr. Bhoj Raj Ghimire.jpeg,,Acting Dean,Nepal Open University (NoU)
mr-sambedan-koirala,Mr. Sambedan Koirala,/images/speakers/Sambedan-Koirala.jpg,"Mr. Sambedan Koirala is an IEMIS Expert working with Adam Smith International (ASI) under the UK Aid-funded Samartha program. Associated with Kathmandu University's School of Education, he is a researcher and system architect specializing in Integrated Educational Management Information Systems (IEMIS) and Technical and Vocational Education and Training (TVET). He drives digital transformation in Nepal's education sector by building robust data systems for policy planning, institutional monitoring, and public sector accountability.",IEMIS Expert,"ASI Samartha, UK Aid | Adam Smith International"
prof-dr-bal-krishna-bal,Prof. Dr. Bal Krishna Bal,/images/speakers/Bal Krishna Bal.png,"Prof. Dr. Bal Krishna Bal is the Dean of the School of Engineering and Professor of Computer Engineering at Kathmandu University. With over two decades of expertise in Artificial Intelligence and Natural Language Processing, he is a leading researcher on low-resource language technologies, machine translation, and speech processing. A former Head of the Department of Computer Science and Engineering, he also serves on the AI Regulatory Council for the Government of Nepal, driving technological innovation and policy reform across Nepal's digital ecosystem.","Dean, School of Engineering",Kathmandu University (KU)
hon-dr-lekhjung-thapa,Hon. Dr. Lekhjung Thapa,/images/speakers/Lekhjung-Thapa.jpg,,Member,House of Representative
mr-adesh-khadka,Mr. Adesh Khadka,/images/speakers/Adesh Khadka.png,"Er. Adesh Khadka is a Joint Secretary and the Director General of the National Cyber Security Center, Government of Nepal. An alumnus of IOE Pulchowk Campus with over 20 years of public sector technology experience, he has led pivotal digital identity, cybersecurity, and e-governance initiatives across major government institutions. He actively shapes national policy for secure digital infrastructure, cyber resilience, and citizen-centric digital transformation.",Joint Secretary (IT),Office of the Prime Minister & Council of Ministers (OPMCM)
mr-sanjaya-poudel,Mr. Sanjaya Poudel,/images/speakers/Sanjaya Poudel.png,"Mr. Sanjaya Poudel is the Chief Advisor to Hon. Minister Mahabir Pun. Bringing dedicated expertise in technology policy, strategic planning, and public sector coordination, he serves as a key strategist driving national innovation, educational reform, and digital transformation initiatives. In his advisory capacity, he bridges government vision with multi-stakeholder execution to foster a robust ecosystem for research, development, and tech-driven growth in Nepal.",Chief Advisor,"Ministry of Science, Technology & Innovation"
dr-rosha-pokharel,Dr. Rosha Pokharel,/images/speakers/Dr. Rosha Pokharel.webp,"Dr. Rosha Pokharel is an AI executive, data science leader, and the Founder of SolvDat. With more than 14 years of experience building and scaling enterprise artificial intelligence systems, she has held key leadership positions including Director of AI at CloudFactory. Combining deep technical expertise in machine learning with strategic product vision, she champions scalable data infrastructure, human-in-the-loop AI integration, and talent development across the global tech ecosystem.",Country Director,Cloudfactory
prof-dr-sudan-jha,Prof. Dr. Sudan Jha,/images/speakers/Sudan Jha.jpg,"Prof. Dr. Sudan Jha is a Senior IEEE member and Professor at Kathmandu University, leading its IoT R&D lab, with over 24 years of experience in teaching, research, and industry. He has served as Technical Director at Nepal Television and Editor-in-Chief, authoring 85+ SCI/SCIE papers, holding three patents, and publishing seven books on IoT, 5G, and AI, while keynoting 40+ international conferences.",Hon. Member,National Planning Commission (NPC)
ms-dikshya-giri,Ms. Dikshya Giri,/images/speakers/Ramp.jpg,"Ms. Dikshya Giri is a Business Analyst with experience delivering a full-scale ERP and CRM system, specializing in requirement gathering, functional documentation, stakeholder coordination, and UAT support. She works closely with both business and development teams to ensure requirements are clearly defined, quality is maintained through delivery, and outcomes remain aligned with organizational objectives.",Business Development Officer,Sociair
mr-abhi-shrestha,Mr. Abhi Shrestha,/images/speakers/Ramp.jpg,,Digital Spark Presenter,
mr-sudan-dhakal,Mr. Sudan Dhakal,/images/speakers/Ramp.jpg,,Digital Spark Presenter,
mr-bal-krishna-joshi,Mr. Bal Krishna Joshi,/images/speakers/Bal-Krishna-Joshi.png,"Bal Krishna Joshi is a serial fintech entrepreneur from Nepal with 25+ years of experience building cross-border technology and financial platforms. Founder of Xuno, he is working to enable borderless payments and banking for emerging markets. His entrepreneurial journey spans e-commerce, remittances, digital payments, and financial infrastructure across 16+ countries, including leadership roles at Machnet Technologies and Nepal Electronic Payment System.",Founder,Xuno
ms-tahani-iqbal,Ms. Tahani Iqbal,/images/speakers/Tahani Iqbal.jpeg,"Ms. Tahani Iqbal is an experienced policy professional focused on identifying solutions to technology, connectivity, and infrastructure policy and regulatory challenges across the Asia Pacific region. With over 15 years of experience, her core competencies include strategic planning, policy analysis, and stakeholder engagement, working with government agencies, civil society organizations, academics, and industry to influence digital transformation through policy reform.",Digital Development Specialist,ADB
ms-yanki-ukyab,Ms. Yanki Ukyab,/images/speakers/Yanki Ukyab.jpeg,"Ms. Yanki Ukyab is the Chief Executive Officer of the Investment Board of Nepal (IBN), the government's apex institution for facilitating foreign direct investment, public-private partnerships, and large-scale infrastructure projects. She leads efforts to translate Nepal's potential across hydropower, tourism, ICT, and manufacturing into bankable projects and credible partnerships, engaging investors and development finance institutions with a strong focus on execution.",Chief Executive Officer,Investment Board Nepal (IBN)
dr-s-amer-ahmed,Dr. S. Amer Ahmed,/images/speakers/S Amer Ahmed.jpeg,"Dr. S. Amer Ahmed is the Operations Manager for the Maldives, Nepal, and Sri Lanka at the World Bank. A development economist with extensive international experience, he previously served as Lead Economist and Program Leader for Human Development, as well as Senior Economist in the World Bank's Development Prospects Group. Holding a Ph.D. in Agricultural Economics from Purdue University, he brings deep expertise in economic modeling, labor dynamics, climate change impact, and strategic portfolio management across South Asia.",Operations Manager,World Bank
mr-maneet-dhungel,Mr. Maneet Dhungel,/images/speakers/Maneet Dhungel.jpg,"Mr. Maneet Dhungel is a Senior Fellow and Policy Lead for Digital Transformation at the Institute for Integrated Development Studies (IIDS). Holding a Master's in Public Policy and Cybersecurity from The Fletcher School at Tufts University, he brings extensive expertise in tech policy, digital public infrastructure, AI ethics, and cybersecurity governance. He actively advises policymakers, civil society, and international organizations on building inclusive, rights-respecting digital ecosystems and leveraging technology for sustainable economic transformation.",Senior Fellow,IIDS
mr-vivek-rana,Mr. Vivek Rana,/images/speakers/Vivek Rana.jpg,"Mr. Vivek Rana is a Governance, Risk and Compliance (GRC) and ICT professional with multidisciplinary experience spanning public administration, e-governance, auditing, finance, and strategy. His specialties include information systems assurance, ICT risk management, digital enterprise architecture, and digital and AI policy, with a focus on advancing digital government and public service delivery in an increasingly AI-driven landscape.",Digital Enterprise Architect,"Patron, IFN"
dr-ghanshyam-upadhyaya,Dr. Ghanshyam Upadhyaya,/images/speakers/Ghanshyam Upadhyaya.jpeg,,Secretary,Ministry of Finance (MoF)
mr-suryodaya-bikram-shahi,Mr. Suryodaya Bikram Shahi,/images/speakers/Suryodaya Bikram Shahi.jpeg,,Founder,CAIS
mr-suman-lal-pradhan,Mr. Suman Lal Pradhan,/images/speakers/Suman Lal Pradhan.jpeg,"Mr. Suman Lal Pradhan is an experienced Executive Chairman with a demonstrated history in the telecommunications business, skilled in business planning and stakeholder engagement. He has been actively involved in developing broadband infrastructure and expanding its penetration across Nepal. He holds both a Master of Science and an MBA from Tribhuvan University.",CEO,SkyIT
hon-jagadish-kharel,Hon. Jagadish Kharel,/images/speakers/jagadish kharel.jpg,"Hon. Jagadish Kharel served as Minister of Communication and Information Technology in the Government of Nepal from September 2025, after more than 20 years in Nepali media spanning radio, television, and digital platforms, including hosting the current-affairs program ""Hot Seat"" and serving as Executive Producer and Editor-in-Chief at Image Group. He holds a Master's in Mass Communication from Tribhuvan University and is pursuing an MPhil-PhD in International Relations and Diplomacy.",Former Minister & Member,House of Representative
prof-dr-subarna-shakya,Prof. Dr. Subarna Shakya,/images/speakers/Subarna Shakya.jpg,"Prof. Dr. Subarna Shakya is the Director of the IT Innovation Center at Tribhuvan University and a Professor of Computer Engineering at IOE Pulchowk Campus. A former Executive Director of Nepal's National Information Technology Center (NITC) and former Visiting Professor at Brown University, he played a pioneering role in establishing Nepal's national data center infrastructure. Holding a Ph.D. from Lviv Polytechnic National University, he actively shapes national policy and research in e-governance, cloud security, and digital innovation.","Director, IT Innovation Center",Tribhuvan University
